Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
40218877,"Primavera en Tokio (Otoño en Londres, #3)",Andrea Izquierdo,"Izquierdo, Andrea",,"=""""","=""9788416858743""",4,3.44,Nocturna Ediciones,Paperback,376,2018,2018,2021/01/15,2021/01/02,2021,2021 (#20),read,,,,1,,,0,,,,,
45976844,"Verano en Barcelona (Otoño en Londres, #4)",Andrea Izquierdo,"Izquierdo, Andrea",,"=""8417834362""","=""9788417834364""",3,3.81,Nocturna ediciones,Paperback,416,2020,,2021/01/20,2021/01/02,2021,2021 (#19),read,,,,1,,,0,,,,,
44322022,All the Invisible Things,Orlagh Collins,"Collins, Orlagh",,"=""""","=""""",4,3.71,Bloomsbury YA,Kindle Edition,368,2019,2019,2021/05/27,2021/04/23,2021,2021 (#18),read,,,,1,,,0,,,,,
35288316,"Invierno en Las Vegas (Otoño en Londres, #2)",Andrea Izquierdo,"Izquierdo, Andrea",,"=""""","=""9788416858231""",4,3.66,Nocturna,Paperback,437,2017,2017,2021/01/05,2020/12/25,2021,2021 (#17),read,,,,1,,,0,,,,,
31450852,"Tower of Dawn (Throne of Glass, #6)",Sarah J. Maas,"Maas, Sarah J.",,"=""1681195771""","=""9781681195773""",4,4.31,Bloomsbury USA Childrens,Hardcover,660,2017,2017,2021/04/14,2021/01/02,2021,2021 (#16),read,,,,1,,,0,,,,,
29876001,"Otoño en Londres (Otoño en Londres, #1)",Andrea Izquierdo,"Izquierdo, Andrea",,"=""8494527762""","=""9788494527760""",4,3.84,Nocturna ,Paperback,523,2016,2016,2021/01/04,2021/01/01,2021,2021 (#15),read,,,,1,,,0,,,,,
18006496,"Queen of Shadows (Throne of Glass, #4)",Sarah J. Maas,"Maas, Sarah J.",,"=""1619636042""","=""9781619636040""",5,4.53,Bloomsbury USA Childrens,Hardcover,648,2015,2015,2021/03/06,2021/01/02,2021,2021 (#14),read,,,,1,,,0,,,,,
18243700,"The Assassin's Blade (Throne of Glass, #0.1-0.5)",Sarah J. Maas,"Maas, Sarah J.",,"=""1408852594""","=""9781408852590""",4,4.35,Bloomsbury Childrens,ebook,448,2014,2014,2021/01/06,2021/01/01,2021,2021 (#13),read,,,,1,,,0,,,,,
28260587,"Empire of Storms (Throne of Glass, #5)",Sarah J. Maas,"Maas, Sarah J.",,"=""""","=""""",5,4.53,Bloomsbury Children's Books,Hardcover,689,2016,2016,2021/03/28,2021/01/02,2021,2021 (#12),read,,,,1,,,0,,,,,
33590260,"Kingdom of Ash (Throne of Glass, #7)",Sarah J. Maas,"Maas, Sarah J.",,"=""1619636107""","=""9781619636101""",5,4.56,Bloomsbury YA,Hardcover,984,2018,2018,2021/05/09,2021/01/02,2021,2021 (#11),read,,,,1,,,0,,,,,
17167166,"Crown of Midnight (Throne of Glass, #2)",Sarah J. Maas,"Maas, Sarah J.",,"=""1619630621""","=""9781619630628""",3,4.37,Bloomsbury USA Childrens,Hardcover,420,2013,2013,2021/01/24,2021/01/02,2021,2021 (#10),read,,,,1,,,0,,,,,
