Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
40806504,El Capità Grisam i l'amor,Elisabetta Gnone,"Gnone, Elisabetta",,"=""849932018X""","=""9788499320182""",3,4.11,Estrella Polar,Hardcover,240,,2008,2019/07/29,2019/07/28,2019,2019 (#23),read,,,,1,,,0,,,,,
39651837,"La novia gitana (Elena Blanco, #1)",Carmen Mola,"Mola, Carmen",,"=""""","=""""",4,4.12,Alfaguara,Kindle Edition,408,2018,2018,,2019/09/07,2019,2019 (#22),read,,,,1,,,0,,,,,
24717684,"30 Días - Cambia de hábitos, cambia de vida: Algunos pasos simples cada día para crear la vida que deseas (Hábitos que cambiarán tu vida nº 1)",Marc Reklau,"Reklau, Marc",,"=""""","=""""",3,4.06,Marc Reklau,Kindle Edition,186,2014,2014,2019/10/02,2019/09/27,2019,2019 (#21),read,,,,1,,,0,,,,,
32965311,La pareja de al lado,Shari Lapena,"Lapena, Shari",Ana Momplet,"=""8491290656""","=""9788491290650""",4,3.79,Suma de Letras,Paperback,392,2017,2016,,2019/08/22,2019,2019 (#18),read,,,,1,,,0,,,,,
35959740,Circe,Madeline Miller,"Miller, Madeline",,"=""0316556343""","=""9780316556347""",0,4.26,"Little, Brown and Company",Hardcover,393,2018,2018,,2019/08/01,to-read,to-read (#33),to-read,,,,0,,,0,,,,,
39328575,"La senda de las cuatro fuerzas (La puerta de los tres cerrojos, #2)",Sonia Fernández-Vidal,"Fernández-Vidal, Sonia",,"=""""","=""""",5,4.00,Destino Infantil & Juvenil,Kindle Edition,353,2018,2018,2019/08/01,2019/07/31,2019,2019 (#17),read,,,,1,,,0,,,,,
43307358,"Heartstopper: Volume Two (Heartstopper, #2)",Alice Oseman,"Oseman, Alice",,"=""1444951408""","=""9781444951400""",5,4.62,Hodder Children's Books,Paperback,320,2019,2019,,2019/08/01,2019,2019 (#16),read,,,,1,,,0,,,,,
40495957,"Heartstopper: Volume One (Heartstopper, #1)",Alice Oseman,"Oseman, Alice",Lluís Delgado,"=""152722533X""","=""9781527225336""",4,4.53,Selfpublished,Paperback,278,2018,2016,,2019/07/30,2019,2019 (#15),read,,,,1,,,0,,,,,
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"Rowling, J.K.","Mary GrandPré, ویدا اسلامیه","=""""","=""""",0,4.43,Arthur A. Levine Books,Hardcover,341,1999,1998,,2018/02/05,to-read,to-read (#32),to-read,,,,0,,,0,,,,,
32148335,"Crímenes duplicados (Sebastian Bergman, #2)",Michael Hjorth,"Hjorth, Michael","Hans Rosenfeldt, Claudia Conde","=""8408159623""","=""9788408159629""",3,4.15,Planeta,Paperback,624,2016,2011,2019/07/25,2018/02/17,2019,2019 (#13),read,,,,1,,,0,,,,,
